"provincia","canton","zona","id_ubicacion"
"Guayas","Pedro Carbo","Rural","Row243"
"Guayas","Balzar","Rural","Row245"
"Pichincha","Ruminahui","Rural","Row248"
"Los Rios","Babahoyo","Rural","Row249"
"Guayas","Naranjal","Rural","Row289"
"Azuay","Gualaceo","Rural","Row291"
"Guayas","San Jacinto De Yaguachi","Rural","Row298"
"El Oro","Balsas","Rural","Row303"
"Tungurahua","Patate","Rural","Row308"
"Esmeraldas","Esmeraldas","Rural","Row309"
"Imbabura","Ibarra","Urbana","Row323"
"Manabi","Manta","Rural","Row363"
"Manabi","Pajan","Rural","Row366"
"Los Rios","Puebloviejo","Rural","Row379"
"Loja","Loja","Urbana","Row400"
"El Oro","Pasaje","Rural","Row417"
"El Oro","Santa Rosa","Rural","Row421"
"Pichincha","Cayambe","Rural","Row426"
"Morona Santiago","Sucua","Rural","Row427"
"Chimborazo","Guano","Rural","Row432"
"Canar","La Troncal","Rural","Row435"
"El Oro","Huaquillas","Rural","Row436"
"Loja","Macara","Rural","Row437"
"El Oro","Pinas","Rural","Row469"
"Azuay","Sigsig","Rural","Row472"
"Pichincha","Pedro Moncayo","Rural","Row516"
"Guayas","El Triunfo","Rural","Row574"
"Chimborazo","Colta","Rural","Row579"
"Morona Santiago","Palora","Rural","Row581"
"Morona Santiago","Morona","Rural","Row582"
"Zamora Chinchipe","Paquisha","Rural","Row584"
"Guayas","Colimes","Rural","Row696"
"Guayas","Palestina","Rural","Row702"
"Guayas","Isidro Ayora","Rural","Row707"
"Los Rios","Montalvo","Rural","Row714"
"Bolivar","Guaranda","Rural","Row728"
"Carchi","Montufar","Urbana","Row740"
"Carchi","Mira","Rural","Row741"
"Guayas","Simon Bolivar","Rural","Row765"
"Los Rios","Buena Fe","Rural","Row774"
"Manabi","Tosagua","Rural","Row776"
"Manabi","Puerto Lopez","Rural","Row781"
"Zamora Chinchipe","Zamora","Rural","Row791"
"Loja","Paltas","Rural","Row797"
"Loja","Saraguro","Rural","Row798"
"Morona Santiago","Limon Indanza","Rural","Row858"
"Loja","Loja","Rural","Row878"
"Napo","Quijos","Rural","Row916"
"Azuay","Paute","Rural","Row943"
"El Oro","Portovelo","Rural","Row947"
"Morona Santiago","Tiwintza","Rural","Row955"
"Los Rios","Valencia","Rural","Row998"
"Azuay","Nabon","Rural","Row1003"
"Morona Santiago","Logrono","Rural","Row1011"
"Azuay","Santa Isabel","Rural","Row1054"
"Guayas","Santa Lucia","Rural","Row1057"
"Bolivar","Chillanes","Rural","Row1071"
"Guayas","Lomas De Sargentillo","Rural","Row1115"
"Manabi","Junin","Rural","Row1122"
"Los Rios","Baba","Rural","Row1127"
"Cotopaxi","La Mana","Rural","Row1135"
"Guayas","General Antonio Elizalde","Urbana","Row1182"
"Los Rios","Vinces","Rural","Row1304"
"Imbabura","Cotacachi","Rural","Row1333"
"Los Rios","Babahoyo","Urbana","Row1412"
"Guayas","Naranjito","Urbana","Row1457"
"Guayas","Pedro Carbo","Urbana","Row1545"
"Tungurahua","Banos De Agua Santa","Rural","Row1550"
"Guayas","El Triunfo","Urbana","Row1614"
"Guayas","Simon Bolivar","Urbana","Row1631"
"Bolivar","Echeandia","Rural","Row1646"
"Santo Domingo De Los Tsachilas","La Concordia","Rural","Row1771"
"Orellana","La Joya De Los Sachas","Rural","Row1891"
"Guayas","Alfredo Baquerizo Moreno","Urbana","Row1946"
"Loja","Catamayo","Rural","Row1969"
"Imbabura","Antonio Ante","Urbana","Row1971"
"El Oro","Machala","Urbana","Row2000"
"Guayas","Lomas De Sargentillo","Urbana","Row2041"
"Loja","Calvas","Rural","Row2058"
"Chimborazo","Alausi","Rural","Row2129"
"Guayas","Balzar","Urbana","Row2186"
"Zamora Chinchipe","Chinchipe","Rural","Row2190"
"Manabi","Portoviejo","Urbana","Row2211"
"Chimborazo","Cumanda","Urbana","Row2317"
"Morona Santiago","Santiago","Rural","Row2332"
"Imbabura","Antonio Ante","Rural","Row2351"
"Morona Santiago","Gualaquiza","Rural","Row2402"
"Zamora Chinchipe","Yantzaza","Rural","Row2408"
"Imbabura","San Miguel De Urcuqui","Rural","Row2423"
"Morona Santiago","San Juan Bosco","Rural","Row2509"
"Imbabura","Cotacachi","Urbana","Row2599"
"Esmeraldas","Quininde","Rural","Row2838"
"Chimborazo","Pallatanga","Rural","Row3011"
"Guayas","Alfredo Baquerizo Moreno","Rural","Row3137"
"Esmeraldas","Rioverde","Rural","Row3147"
"Esmeraldas","Eloy Alfaro","Rural","Row3203"
"El Oro","Zaruma","Rural","Row3311"
