estacion,nombreestacion,longitud2,latitud2,altitud,anio,mes,precipitacion,mes_num
M0001,INGUINCHO,-78408.0,0.2575,3140,2019,jul,11.2,7
M0002,LA TOLA,-78.3704,-0.2318,2480,2019,jul,5.0,7
M0003,IZOBAMBA,-78555.0,-0.365833,3058,2019,jul,24.9,7
M0004,RUMIPAMBA-SALCEDO,-78.5946,-1.02,2685,2019,jul,7.7,7
M0005,PORTOVIEJO-UTM,-80.4596,-1.0376,46,2019,jul,5.1,7
M0006,PICHILINGUE,-79.46166667,-1.1,120,2019,jul,10.8,7
M0007,NUEVO ROCAFUERTE,-75403.0,-0.92,185,2019,jul,,7
M0008,PUYO,-77956.0,-1.5057,956,2019,jul,303.0,7
M0024,QUITO INAMHI-IAQUITO,-78.4877,-0.1783,2789,2019,jul,15.4,7
M0025,LA CONCORDIA,-79.38027778,-0.024722222,379,2019,jul,20.7,7
M0031,CAAR,-78.9452,-2.5522,3083,2019,jul,,7
M0033,LA ARGELIA-LOJA,-79.2034,-4.0375,2160,2019,jul,94.2,7
M0037,MILAGRO(INGENIO VALDEZ),-79.60027778,-2.118055556,23,2019,jul,0.7,7
M0055,QUITO AEROPUERTO- PARQUE BICENTENARIO,-78485.0,-0.14,2794,2019,jul,24.8,7
M0103,SAN GABRIEL,-77.81944444,0.604166667,2860,2019,jul,38.0,7
M0139,GUALACEO,-78.7806,-2.8981,2230,2019,jul,,7
M1040,MACAS SAN ISIDRO-DOMONO,-78125.0,-2.2298,1110,2019,jul,,7
M1094,TOMALON-TABACUNDO,-78.25505278,0.011155556,2790,2019,jul,8.7,7
M0001,INGUINCHO,-78408.0,0.2575,3140,2019,ago,1.1,8
M0002,LA TOLA,-78.3704,-0.2318,2480,2019,ago,0.1,8
M0003,IZOBAMBA,-78555.0,-0.365833,3058,2019,ago,0.0,8
M0004,RUMIPAMBA-SALCEDO,-78.5946,-1.02,2685,2019,ago,8.1,8
M0005,PORTOVIEJO-UTM,-80.4596,-1.0376,46,2019,ago,,8
M0006,PICHILINGUE,-79.46166667,-1.1,120,2019,ago,0.8,8
M0007,NUEVO ROCAFUERTE,-75403.0,-0.92,185,2019,ago,,8
M0008,PUYO,-77956.0,-1.5057,956,2019,ago,233.5,8
M0024,QUITO INAMHI-IAQUITO,-78.4877,-0.1783,2789,2019,ago,,8
M0025,LA CONCORDIA,-79.38027778,-0.024722222,379,2019,ago,6.4,8
M0031,CAAR,-78.9452,-2.5522,3083,2019,ago,,8
M0033,LA ARGELIA-LOJA,-79.2034,-4.0375,2160,2019,ago,78.3,8
M0037,MILAGRO(INGENIO VALDEZ),-79.60027778,-2.118055556,23,2019,ago,0.0,8
M0055,QUITO AEROPUERTO- PARQUE BICENTENARIO,-78485.0,-0.14,2794,2019,ago,0.0,8
M0103,SAN GABRIEL,-77.81944444,0.604166667,2860,2019,ago,39.3,8
M0139,GUALACEO,-78.7806,-2.8981,2230,2019,ago,,8
M1040,MACAS SAN ISIDRO-DOMONO,-78125.0,-2.2298,1110,2019,ago,,8
M1094,TOMALON-TABACUNDO,-78.25505278,0.011155556,2790,2019,ago,0.3,8
M0001,INGUINCHO,-78408.0,0.2575,3140,2019,sep,56.4,9
M0002,LA TOLA,-78.3704,-0.2318,2480,2019,sep,56.1,9
M0003,IZOBAMBA,-78555.0,-0.365833,3058,2019,sep,84.0,9
M0004,RUMIPAMBA-SALCEDO,-78.5946,-1.02,2685,2019,sep,7.6,9
M0005,PORTOVIEJO-UTM,-80.4596,-1.0376,46,2019,sep,,9
M0006,PICHILINGUE,-79.46166667,-1.1,120,2019,sep,23.4,9
M0007,NUEVO ROCAFUERTE,-75403.0,-0.92,185,2019,sep,,9
M0008,PUYO,-77956.0,-1.5057,956,2019,sep,199.9,9
M0024,QUITO INAMHI-IAQUITO,-78.4877,-0.1783,2789,2019,sep,,9
M0025,LA CONCORDIA,-79.38027778,-0.024722222,379,2019,sep,47.9,9
M0031,CAAR,-78.9452,-2.5522,3083,2019,sep,,9
M0033,LA ARGELIA-LOJA,-79.2034,-4.0375,2160,2019,sep,16.9,9
M0037,MILAGRO(INGENIO VALDEZ),-79.60027778,-2.118055556,23,2019,sep,1.4,9
M0055,QUITO AEROPUERTO- PARQUE BICENTENARIO,-78485.0,-0.14,2794,2019,sep,,9
M0103,SAN GABRIEL,-77.81944444,0.604166667,2860,2019,sep,18.1,9
M0139,GUALACEO,-78.7806,-2.8981,2230,2019,sep,,9
M1040,MACAS SAN ISIDRO-DOMONO,-78125.0,-2.2298,1110,2019,sep,,9
M1094,TOMALON-TABACUNDO,-78.25505278,0.011155556,2790,2019,sep,36.9,9
M0001,INGUINCHO,-78408.0,0.2575,3140,2019,oct,106.5,10
M0002,LA TOLA,-78.3704,-0.2318,2480,2019,oct,82.3,10
M0003,IZOBAMBA,-78555.0,-0.365833,3058,2019,oct,168.0,10
M0004,RUMIPAMBA-SALCEDO,-78.5946,-1.02,2685,2019,oct,65.2,10
M0005,PORTOVIEJO-UTM,-80.4596,-1.0376,46,2019,oct,,10
M0006,PICHILINGUE,-79.46166667,-1.1,120,2019,oct,5.0,10
M0007,NUEVO ROCAFUERTE,-75403.0,-0.92,185,2019,oct,,10
M0008,PUYO,-77956.0,-1.5057,956,2019,oct,372.6,10
M0024,QUITO INAMHI-IAQUITO,-78.4877,-0.1783,2789,2019,oct,,10
M0025,LA CONCORDIA,-79.38027778,-0.024722222,379,2019,oct,141.3,10
M0031,CAAR,-78.9452,-2.5522,3083,2019,oct,,10
M0033,LA ARGELIA-LOJA,-79.2034,-4.0375,2160,2019,oct,86.4,10
M0037,MILAGRO(INGENIO VALDEZ),-79.60027778,-2.118055556,23,2019,oct,0.9,10
M0055,QUITO AEROPUERTO- PARQUE BICENTENARIO,-78485.0,-0.14,2794,2019,oct,,10
M0103,SAN GABRIEL,-77.81944444,0.604166667,2860,2019,oct,104.4,10
M0139,GUALACEO,-78.7806,-2.8981,2230,2019,oct,,10
M1040,MACAS SAN ISIDRO-DOMONO,-78125.0,-2.2298,1110,2019,oct,,10
M1094,TOMALON-TABACUNDO,-78.25505278,0.011155556,2790,2019,oct,45.6,10
M0001,INGUINCHO,-78408.0,0.2575,3140,2019,nov,204.9,11
M0002,LA TOLA,-78.3704,-0.2318,2480,2019,nov,121.8,11
M0003,IZOBAMBA,-78555.0,-0.365833,3058,2019,nov,194.8,11
M0004,RUMIPAMBA-SALCEDO,-78.5946,-1.02,2685,2019,nov,72.0,11
M0005,PORTOVIEJO-UTM,-80.4596,-1.0376,46,2019,nov,,11
M0006,PICHILINGUE,-79.46166667,-1.1,120,2019,nov,99.5,11
M0007,NUEVO ROCAFUERTE,-75403.0,-0.92,185,2019,nov,,11
M0008,PUYO,-77956.0,-1.5057,956,2019,nov,,11
M0024,QUITO INAMHI-IAQUITO,-78.4877,-0.1783,2789,2019,nov,,11
M0025,LA CONCORDIA,-79.38027778,-0.024722222,379,2019,nov,69.7,11
M0031,CAAR,-78.9452,-2.5522,3083,2019,nov,,11
M0033,LA ARGELIA-LOJA,-79.2034,-4.0375,2160,2019,nov,112.9,11
M0037,MILAGRO(INGENIO VALDEZ),-79.60027778,-2.118055556,23,2019,nov,2.2,11
M0055,QUITO AEROPUERTO- PARQUE BICENTENARIO,-78485.0,-0.14,2794,2019,nov,,11
M0103,SAN GABRIEL,-77.81944444,0.604166667,2860,2019,nov,162.4,11
M0139,GUALACEO,-78.7806,-2.8981,2230,2019,nov,,11
M1040,MACAS SAN ISIDRO-DOMONO,-78125.0,-2.2298,1110,2019,nov,,11
M1094,TOMALON-TABACUNDO,-78.25505278,0.011155556,2790,2019,nov,86.8,11
M0001,INGUINCHO,-78408.0,0.2575,3140,2019,dic,203.3,12
M0002,LA TOLA,-78.3704,-0.2318,2480,2019,dic,103.3,12
M0003,IZOBAMBA,-78555.0,-0.365833,3058,2019,dic,132.3,12
M0004,RUMIPAMBA-SALCEDO,-78.5946,-1.02,2685,2019,dic,25.2,12
M0005,PORTOVIEJO-UTM,-80.4596,-1.0376,46,2019,dic,,12
M0006,PICHILINGUE,-79.46166667,-1.1,120,2019,dic,,12
M0007,NUEVO ROCAFUERTE,-75403.0,-0.92,185,2019,dic,,12
M0008,PUYO,-77956.0,-1.5057,956,2019,dic,,12
M0024,QUITO INAMHI-IAQUITO,-78.4877,-0.1783,2789,2019,dic,,12
M0025,LA CONCORDIA,-79.38027778,-0.024722222,379,2019,dic,233.3,12
M0031,CAAR,-78.9452,-2.5522,3083,2019,dic,,12
M0033,LA ARGELIA-LOJA,-79.2034,-4.0375,2160,2019,dic,128.6,12
M0037,MILAGRO(INGENIO VALDEZ),-79.60027778,-2.118055556,23,2019,dic,14.4,12
M0055,QUITO AEROPUERTO- PARQUE BICENTENARIO,-78485.0,-0.14,2794,2019,dic,,12
M0103,SAN GABRIEL,-77.81944444,0.604166667,2860,2019,dic,124.7,12
M0139,GUALACEO,-78.7806,-2.8981,2230,2019,dic,,12
M1040,MACAS SAN ISIDRO-DOMONO,-78125.0,-2.2298,1110,2019,dic,,12
M1094,TOMALON-TABACUNDO,-78.25505278,0.011155556,2790,2019,dic,,12
