provincia,canton,parroquia,poblacion,superficie_de_la_parroquia_km2_,densidad_poblacional
CANAR,CANAR,GUALLETURO,3223.0,291.21,11.0
CANAR,CANAR,HONORATO VASQUEZ,5906.0,77.14,77.0
CANAR,CANAR,INGAPIRCA,6964.0,414.27,17.0
CANAR,CANAR,JUNCAL,1680.0,63.75,26.0
CANAR,CANAR,SAN ANTONIO,2127.0,412.8,5.0
CANAR,CANAR,ZHUD,1683.0,83.9,20.0
CANAR,CANAR,VENTURA,1357.0,68.04,20.0
CANAR,CANAR,DUCUR,3688.0,100.15,37.0
CANAR,LA TRONCAL,LA TRONCAL,46505.0,156.68,297.0
CANAR,LA TRONCAL,MANUEL J. CALLE,4732.0,60.64,78.0
CANAR,LA TRONCAL,PANCHO NEGRO,10866.0,150.15,72.0
CANAR,EL TAMBO,EL TAMBO,9285.0,63.1,147.0
CANAR,DELEG,DELEG,4273.0,56.7,75.0
CANAR,DELEG,SOLANO,1773.0,16.89,105.0
CANAR,SUSCAL,SUSCAL,4627.0,53.31,87.0
CARCHI,TULCAN,TULCAN,64218.0,135.91,473.0
CARCHI,TULCAN,EL CARMELO,2162.0,65.83,33.0
CARCHI,TULCAN,JULIO ANDRADE,10594.0,92.61,114.0
CARCHI,TULCAN,MALDONADO,2069.0,200.62,10.0
CARCHI,TULCAN,PIOTER,670.0,17.78,38.0
CARCHI,TULCAN,TOBAR DONOSO,1393.0,623.71,2.0
CARCHI,TULCAN,TUFINO,2692.0,178.93,15.0
CARCHI,TULCAN,URBINA,1770.0,39.94,44.0
CARCHI,TULCAN,EL CHICAL,4403.0,442.79,10.0
CARCHI,TULCAN,SANTA MARTHA DE CUBA,2404.0,16.57,145.0
CARCHI,BOLIVAR,BOLIVAR,5873.0,99.61,59.0
CARCHI,BOLIVAR,GARCIA MORENO,1364.0,58.36,23.0
CARCHI,BOLIVAR,LOS ANDES,2536.0,58.49,43.0
CARCHI,BOLIVAR,MONTE OLIVO,1699.0,69.7,24.0
CARCHI,BOLIVAR,SAN VICENTE DE PUSIR,2254.0,42.46,53.0
CARCHI,BOLIVAR,SAN RAFAEL,1951.0,31.09,63.0
CARCHI,ESPEJO,EL ANGEL,7075.0,114.26,62.0
CARCHI,ESPEJO,EL GOALTAL,746.0,255.82,3.0
CARCHI,ESPEJO,LA LIBERTAD,3718.0,151.06,25.0
CARCHI,ESPEJO,SAN ISIDRO,2983.0,46.44,64.0
CARCHI,MIRA,MIRA,6706.0,100.65,67.0
CARCHI,MIRA,CONCEPCION,2680.0,149.18,18.0
CARCHI,MIRA,JIJON Y CAAMANO,1961.0,281.3,7.0
CARCHI,MIRA,JUAN MONTALVO,1380.0,53.04,26.0
CARCHI,MONTUFAR,SAN GABRIEL,20576.0,145.82,141.0
CARCHI,MONTUFAR,CRISTOBAL COLON,2901.0,32.63,89.0
CARCHI,MONTUFAR,CHITAN DE NAVARRETE,641.0,39.43,16.0
CARCHI,MONTUFAR,FERNANDEZ SALVADOR,1144.0,32.06,36.0
CARCHI,MONTUFAR,LA PAZ,3399.0,112.03,30.0
CARCHI,MONTUFAR,PIARTAL,929.0,18.62,50.0
CARCHI,SAN PEDRO DE HUACA,HUACA,6455.0,43.29,149.0
CARCHI,SAN PEDRO DE HUACA,MARISCAL SUCRE,1482.0,33.18,45.0
COTOPAXI,LATACUNGA,LATACUNGA,125651.0,266.34,472.0
COTOPAXI,LATACUNGA,ALAQUEZ,7958.0,144.18,55.0
COTOPAXI,LATACUNGA,BELISARIO QUEVEDO,7301.0,37.93,192.0
COTOPAXI,LATACUNGA,GUAYTACAMA,15158.0,26.66,569.0
COTOPAXI,LATACUNGA,JOSEGUANGO BAJO,2469.0,18.41,134.0
COTOPAXI,LATACUNGA,MULALO,9101.0,509.42,18.0
COTOPAXI,LATACUNGA,ONCE DE NOVIEMBRE,3233.0,10.41,311.0
COTOPAXI,LATACUNGA,POALO,4960.0,76.12,65.0
COTOPAXI,LATACUNGA,SAN JUAN DE PASTOCALLE,14884.0,139.67,107.0
COTOPAXI,LATACUNGA,TANICUCHI,15509.0,53.31,291.0
COTOPAXI,LATACUNGA,TOACASO,11037.0,213.06,52.0
COTOPAXI,LA MANA,LA MANA,47967.0,230.97,208.0
COTOPAXI,LA MANA,GUASAGANDA,3866.0,248.29,16.0
COTOPAXI,LA MANA,PUCAYACU,1960.0,181.43,11.0
COTOPAXI,PANGUA,EL CORAZON,5529.0,162.29,34.0
COTOPAXI,PANGUA,MORASPUNGO,13884.0,406.82,34.0
COTOPAXI,PANGUA,PINLLOPATA,692.0,32.49,21.0
COTOPAXI,PANGUA,RAMON CAMPANA,1762.0,117.97,15.0
COTOPAXI,PUJILI,PUJILI,42614.0,294.98,144.0
COTOPAXI,PUJILI,ANGAMARCA,3802.0,282.09,13.0
COTOPAXI,PUJILI,GUANGAJE,4113.0,126.08,33.0
COTOPAXI,PUJILI,LA VICTORIA,3561.0,18.65,191.0
COTOPAXI,PUJILI,PILALO,1916.0,205.95,9.0
COTOPAXI,PUJILI,TINGO,4026.0,192.68,21.0
COTOPAXI,PUJILI,ZUMBAHUA,6948.0,208.8,33.0
COTOPAXI,SALCEDO,SAN MIGUEL,39101.0,193.66,202.0
COTOPAXI,SALCEDO,ANTONIO JOSE HOLGUIN,3431.0,7.27,472.0
COTOPAXI,SALCEDO,CUSUBAMBA,5949.0,161.76,37.0
COTOPAXI,SALCEDO,MULALILLO,7254.0,41.29,176.0
COTOPAXI,SALCEDO,MULLIQUINDIL,7632.0,48.07,159.0
COTOPAXI,SALCEDO,PANSALEO,4126.0,16.46,251.0
COTOPAXI,SAQUISILI,SAQUISILI,16163.0,41.35,391.0
COTOPAXI,SAQUISILI,CANCHAGUA,3510.0,25.42,138.0
COTOPAXI,SAQUISILI,CHANTILIN,2129.0,4.71,452.0
COTOPAXI,SAQUISILI,COCHAPAMBA,2554.0,84.93,30.0
COTOPAXI,SIGCHOS,SIGCHOS,7560.0,775.64,10.0
COTOPAXI,SIGCHOS,CHUGCHILLAN,6075.0,248.96,24.0
COTOPAXI,SIGCHOS,ISINLIVI,1945.0,84.81,23.0
COTOPAXI,SIGCHOS,LAS PAMPAS,1850.0,131.95,14.0
COTOPAXI,SIGCHOS,PALO QUEMADO,1030.0,116.44,9.0
CHIMBORAZO,RIOBAMBA,RIOBAMBA,188891.0,61.95,3049.0
CHIMBORAZO,RIOBAMBA,CACHA,2362.0,28.56,83.0
CHIMBORAZO,RIOBAMBA,CALPI,6223.0,51.86,120.0
CHIMBORAZO,RIOBAMBA,CUBIJIES,3264.0,12.93,252.0
CHIMBORAZO,RIOBAMBA,FLORES,2733.0,44.52,61.0
CHIMBORAZO,RIOBAMBA,LICAN,11726.0,21.02,558.0
CHIMBORAZO,RIOBAMBA,LICTO,6778.0,60.05,113.0
CHIMBORAZO,RIOBAMBA,PUNGALA,3925.0,279.31,14.0
CHIMBORAZO,RIOBAMBA,PUNIN,4682.0,51.66,91.0
